message_type,"device_total_payload","gross_total_payload","device_payload","gross_payload","device_serial","channel_1","channel_2","channel_3","channel_4","imei","time","device"
0,26.86,52.08,20.32,32.94,4619011,9,8.93,8.93,0,"354017110101819","2020-08-14 11:57:34.0+0000",2
0,26.88,52.07,20.34,32.93,4619011,9,8.94,8.94,0,"354017110101819","2020-08-14 11:57:29.0+0000",2
0,26.92,52.1,20.38,32.96,4619011,9.03,8.95,8.94,0,"354017110101819","2020-08-14 11:57:23.0+0000",2
0,26.94,52.12,20.4,32.98,4619011,9.04,8.96,8.94,0,"354017110101819","2020-08-14 11:57:17.0+0000",2
0,26.78,51.93,20.24,32.79,4619011,8.99,8.9,8.89,0,"354017110101819","2020-08-14 11:57:01.0+0000",2
0,26.74,51.86,20.2,32.72,4619011,8.98,8.88,8.88,0,"354017110101819","2020-08-14 11:56:55.0+0000",2
0,26.72,51.84,20.18,32.7,4619011,8.97,8.88,8.87,0,"354017110101819","2020-08-14 11:56:49.0+0000",2
0,26.73,51.85,20.19,32.71,4619011,8.97,8.89,8.87,0,"354017110101819","2020-08-14 11:56:44.0+0000",2
0,25.5,50.95,18.96,31.81,4619011,8.44,8.52,8.54,0,"354017110101819","2020-08-06 07:38:33.0+0000",2
0,25.68,51.08,19.14,31.94,4619011,8.53,8.58,8.57,0,"354017110101819","2020-08-06 07:38:22.0+0000",2
0,25.95,51.66,19.41,32.52,4619011,8.63,8.66,8.66,0,"354017110101819","2020-08-06 07:38:16.0+0000",2
0,26.26,52.37,19.72,33.23,4619011,8.74,8.78,8.74,0,"354017110101819","2020-08-06 07:38:10.0+0000",2
0,26.27,52.78,19.73,33.64,4619011,8.77,8.78,8.72,0,"354017110101819","2020-08-06 07:38:05.0+0000",2
0,26.01,52.51,19.47,33.37,4619011,8.68,8.69,8.64,0,"354017110101819","2020-08-06 07:37:59.0+0000",2
0,25.64,51.89,19.1,32.75,4619011,8.56,8.56,8.52,0,"354017110101819","2020-08-06 07:37:53.0+0000",2
0,25.4,51.33,18.86,32.19,4619011,8.47,8.47,8.46,0,"354017110101819","2020-08-06 07:37:48.0+0000",2
0,25.49,51.36,18.95,32.22,4619011,8.5,8.5,8.49,0,"354017110101819","2020-08-06 07:37:42.0+0000",2
0,25.55,51.54,19.01,32.4,4619011,8.52,8.52,8.51,0,"354017110101819","2020-08-06 07:37:36.0+0000",2
0,25.6,51.66,19.06,32.52,4619011,8.54,8.54,8.52,0,"354017110101819","2020-08-06 07:37:31.0+0000",2
0,25.53,51.55,18.99,32.41,4619011,8.52,8.52,8.49,0,"354017110101819","2020-08-06 07:37:25.0+0000",2
0,25.49,51.39,18.95,32.25,4619011,8.5,8.51,8.48,0,"354017110101819","2020-08-06 07:37:19.0+0000",2
0,25.42,51.2,18.88,32.06,4619011,8.47,8.49,8.46,0,"354017110101819","2020-08-06 07:37:14.0+0000",2
0,25.39,51.13,18.85,31.99,4619011,8.45,8.48,8.46,0,"354017110101819","2020-08-06 07:37:08.0+0000",2
0,25.49,51.28,18.95,32.14,4619011,8.5,8.49,8.5,0,"354017110101819","2020-08-06 07:36:52.0+0000",2
0,25.52,51.35,18.98,32.21,4619011,8.5,8.5,8.52,0,"354017110101819","2020-08-06 07:36:47.0+0000",2
0,25.54,51.4,19,32.26,4619011,8.5,8.52,8.52,0,"354017110101819","2020-08-06 07:36:41.0+0000",2
0,25.53,51.36,18.99,32.22,4619011,8.49,8.54,8.5,0,"354017110101819","2020-08-06 07:36:35.0+0000",2
0,25.54,51.35,19,32.21,4619011,8.49,8.56,8.49,0,"354017110101819","2020-08-06 07:36:30.0+0000",2
0,25.52,51.36,18.98,32.22,4619011,8.48,8.55,8.49,0,"354017110101819","2020-08-06 07:36:24.0+0000",2
0,6.33,16.77,0,0,4619011,1.42,2.46,2.45,0,"354017110101819","2020-08-05 10:22:31.0+0000",2
0,6.33,16.77,0,0,4619011,1.42,2.46,2.45,0,"354017110101819","2020-08-05 10:22:26.0+0000",2
0,6.33,16.77,0,0,4619011,1.42,2.46,2.45,0,"354017110101819","2020-08-05 10:22:20.0+0000",2
0,6.33,16.77,0,0,4619011,1.42,2.46,2.45,0,"354017110101819","2020-08-05 10:22:14.0+0000",2
0,6.34,16.78,0,0,4619011,1.42,2.46,2.46,0,"354017110101819","2020-08-05 10:21:57.0+0000",2
0,6.34,16.78,0,0,4619011,1.42,2.46,2.46,0,"354017110101819","2020-08-05 10:21:52.0+0000",2
0,6.33,16.77,0,0,4619011,1.42,2.46,2.45,0,"354017110101819","2020-08-05 10:21:46.0+0000",2
0,11,47.88,11,47.88,4419002,5,6,0,0,"359632105185323","2020-08-18 12:48:14.0+0000",2
0,11,47.89,11,47.89,4419002,5,6,0,0,"359632105185323","2020-08-18 12:48:07.0+0000",2
0,11,47.9,11,47.9,4419002,5,6,0,0,"359632105185323","2020-08-18 12:48:00.0+0000",2
0,11,47.89,11,47.89,4419002,5,6,0,0,"359632105185323","2020-08-18 12:47:46.0+0000",2
